ProteinID	sim_BP	sim_MF	sim_CC
CSH1-6g28552	NA	9.84638946439765	4.65610798032661
CSH1-1g05675	NA	5.91003092344973	NA
CSH1-6g29912	NA	7.16409037105787	NA
CSH1-11g52486	6.68502542490182	6.32882862414071	7.78949597309689
CSH1-6g32143	NA	3.28304176004795	3.21221099059833
CSH1-2g09349	NA	4.7545473949855	7.78949597309689
CSH1-5g25605	10.7852282466509	NA	7.72552066286697
CSH1-4g18133	NA	5.29582170521687	NA
CSH1-9g44532	4.56862214556601	1.56930349638079	4.30951129621627
CSH1-5g24278	NA	5.26198748752062	NA
CSH1-12g54565	4.65523634298235	6.76318351518459	NA
CSH1-11g49761	0.681742952307852	3.31785717973332	3.08890196754999
CSH1-5g26761	7.21723545715661	7.15448464877768	NA
CSH1-11g50579	4.50500298150509	2.48839288479999	NA
CSH1-12g57539	NA	1.86951029661771	NA
CSH1-5g25201	6.66201478088731	7.09885834654284	7.00665034013151
CSH1-10g46707	NA	4.02134333808844	NA
CSH1-2g10820	6.39077909197844	9.95692603005488	4.45079011790488
CSH1-9g42608	7.41138834653967	7.91026162706748	6.87179699416692
CSH1-7g35190	6.26412214001084	7.22638414352008	7.28186292275793
CSH1-10g45952	7.88195256799977	3.85144423008438	NA
CSH1-12g57513	NA	NA	4.65610798032661
CSH1-12g56782	9.88934851203685	NA	8.89197393263774
CSH1-4g17738	NA	4.87606372578674	3.21221099059833
CSH1-6g29400	NA	4.5307867821912	NA
CSH1-12g54642	NA	NA	3.21221099059833
CSH1-12g56752	NA	8.21130510026678	6.88249981994706
CSH1-3g13165	6.50349262138415	6.40700956255512	NA
CSH1-5g21534	3.52301370393923	3.76126014595013	5.97575503608032
CSH1-1g00251	3.14066850908881	4.62499939170636	NA
CSH1-10g47733	6.84727569446201	NA	NA
CSH1-11g52545	NA	3.31785717973332	9.44964468365967
CSH1-5g26463	6.63719933196779	NA	NA
CSH1-8g39946	1.93246131902024	NA	3.21221099059833
CSH1-10g48152	5.47106609542828	6.76318351518459	NA
CSH1-4g21111	NA	3.78684795197007	NA
CSH1-7g35880	3.60182573649764	1.90703614664732	3.21221099059833
CSH1-8g37330	5.70100467436064	9.08291128188624	7.33239277637786
CSH1-1g01354	5.47106609542828	7.42401653485062	NA
CSH1-3g16093	NA	10.0569869379064	NA
CSH1-4g17603	NA	NA	4.47338265118234
CSH1-6g32514	7.02637811876003	7.78830502995341	9.44964468365967
CSH1-9g42325	9.39376582335233	8.08892118498816	7.94534677563117
CSH1-5g24240	5.15336182476867	4.7545473949855	NA
CSH1-6g28267	8.0126395244111	8.69039855678095	NA
CSH1-7g33402	NA	7.16409037105787	NA
CSH1-2g07952	10.7852282466509	8.48124705908336	NA
CSH1-7g34002	5.90773626111826	7.42401653485062	5.37805647519076
CSH1-1g05693	NA	5.88194513198356	6.01602527464238
CSH1-11g53423	6.7962442000866	4.36145097657795	NA
CSH1-1g05303	NA	NA	5.37805647519076
CSH1-6g29791	7.64973403072173	7.22988018516146	4.83659510404265
CSH1-3g16491	NA	2.88071875889519	NA
CSH1-9g41290	NA	NA	3.21221099059833
CSH1-6g31733	4.5804008392363	5.52814981884541	4.83659510404265
CSH1-11g52780	NA	1.86951029661771	NA
CSH1-8g38383	NA	7.16409037105787	NA
CSH1-7g34510	4.70477846808689	7.21974784435258	NA
CSH1-7g34404	NA	NA	2.47235685230826
CSH1-8g39387	NA	NA	4.47338265118234
CSH1-10g45356	0	NA	2.47235685230826
CSH1-2g11947	5.05599138174614	6.61626554786024	7.78949597309689
CSH1-11g53399	6.13154953655753	9.17446230594191	NA
CSH1-6g30527	1.12674676718133	7.95201490259466	NA
CSH1-6g31345	6.06147738620985	8.15039175073231	NA
CSH1-6g30989	NA	NA	5.21778347799427
CSH1-9g42898	NA	3.9625706561668	NA
CSH1-11g51843	NA	1.56930349638079	NA
CSH1-10g47623	7.31565902370689	7.60390302955669	9.74611932235805
CSH1-2g11776	NA	2.85460719413116	NA
CSH1-5g26982	NA	7.97627069658121	NA
CSH1-4g17354	NA	10.2359221023168	NA
CSH1-2g10505	NA	8.48124705908336	5.37805647519076
CSH1-8g39715	3.82954651600338	NA	3.21221099059833
CSH1-12g54312	0.681742952307852	2.71731435310148	3.21221099059833
CSH1-1g04568	7.65392721086016	NA	7.78949597309689
CSH1-1g06776	6.76042412962525	10.2359221023168	10.7852282466509
CSH1-9g43887	NA	NA	3.21221099059833
CSH1-3g15867	3.85889383537131	6.32882862414071	NA
CSH1-1g04132	8.50278303062144	7.31318464253611	7.78949597309689
CSH1-10g46272	NA	7.16409037105787	NA
CSH1-6g28659	1.35250281020305	5.475747170159	4.65610798032661
CSH1-9g42443	8.12463022863986	5.7145874684979	3.21221099059833
CSH1-1g00851	8.70578670497104	3.28304176004795	NA
CSH1-5g26064	NA	7.16409037105787	NA
CSH1-4g19031	NA	7.16409037105787	NA
CSH1-12g57326	0.511307214230889	2.50645500286009	NA
CSH1-2g11132	1.54571749737491	9.16016247225049	8.0923216091177
CSH1-4g19835	NA	5.55956021378096	6.14042528921569
CSH1-2g08488	6.82743212632972	6.05664889670218	NA
CSH1-5g23153	3.63918064705553	5.4819233385918	NA
CSH1-1g04611	NA	NA	4.83659510404265
CSH1-11g48989	NA	7.49647656217854	NA
CSH1-1g02995	7.51755391406907	NA	NA
CSH1-11g53261	5.7084588868185	NA	10.7852282466509
CSH1-10g47726	NA	4.60728413260028	NA
CSH1-6g30026	6.17010772980962	7.41572205723787	NA
CSH1-8g39177	NA	6.54192698044735	NA
CSH1-7g36405	8.7202559196795	10.2359221023168	NA
CSH1-1g03878	0.454495301538568	4.43252319258729	6.14042528921569
CSH1-11g51464	NA	4.7545473949855	NA
CSH1-5g21370	6.20026076798031	3.31785717973332	5.37805647519076
CSH1-9g43133	NA	NA	3.21221099059833
CSH1-8g38912	NA	10.7852282466509	NA
CSH1-1g02016	NA	6.22042083685745	NA
CSH1-2g10123	NA	1.37314055933319	NA
CSH1-6g31115	NA	9.69286628353412	NA
CSH1-10g45462	NA	7.16409037105787	NA
CSH1-4g19849	NA	7.27227075134086	6.64517472747225
CSH1-6g31019	10.7852282466509	10.2034832028812	NA
CSH1-8g36608	NA	1.56930349638079	NA
CSH1-7g33711	NA	8.5938246091722	5.84078688188963
CSH1-5g27220	5.59380975151087	9.53256942312681	6.30042321007531
CSH1-6g29493	1.54571749737491	4.42010004989667	2.47235685230826
CSH1-1g05572	NA	5.63231205491416	4.83659510404265
CSH1-6g27899	NA	9.69286628353412	NA
CSH1-2g11621	5.75928529661011	8.37540062778562	NA
CSH1-3g16209	7.00302649243379	NA	8.70701039806522
CSH1-4g17664	8.45164665871158	NA	7.81788073943446
CSH1-4g20337	9.07724025351646	8.62623745902098	10.7852282466509
CSH1-10g45494	0.681742952307852	2.88071875889519	NA
CSH1-2g09366	NA	10.7852282466509	NA
CSH1-10g48129	1.32972386110815	NA	3.21221099059833
CSH1-6g28690	2.12393242506783	2.47345536921901	NA
CSH1-5g24907	7.64973403072173	6.96580504864867	NA
