GO_ID	GO_name	Ontology	study_count	study_total	pop_count	pop_total	p_value	p_adjusted
GO:0003735	structural constituent of ribosome	MF	15	92	403	57634	1.44640988964358e-16	2.1406866366725e-14
GO:0006412	translation	BP	11	92	311	57634	3.45034869169857e-12	2.55325803185694e-10
GO:0022625	cytosolic large ribosomal subunit	CC	8	92	118	57634	1.956377195742e-11	9.6514608323272e-10
GO:0030145	manganese ion binding	MF	6	92	134	57634	8.53900704710751e-08	3.15943260742978e-06
GO:0005840	ribosome	CC	6	92	159	57634	2.35033649465555e-07	6.95699602418042e-06
GO:0002181	cytoplasmic translation	BP	4	92	49	57634	1.21900260283532e-06	3.0068730869938e-05
GO:0030527	structural constituent of chromatin	MF	4	92	72	57634	5.75526457814135e-06	0.000121682736794989
GO:0000786	nucleosome	CC	4	92	79	57634	8.33387832353426e-06	0.000154176748985384
GO:0009414	response to water deprivation	BP	3	92	30	57634	1.54883838078418e-05	0.000254697867062287
GO:0046982	protein heterodimerization activity	MF	4	92	115	57634	3.67008032056634e-05	0.000540233191901527
GO:0006334	nucleosome assembly	BP	3	92	41	57634	4.0152466965654e-05	0.000540233191901527
GO:0140021	mitochondrial ADP transmembrane transport	BP	2	92	12	57634	0.00016462728365457	0.00187421830622125
GO:1990544	mitochondrial ATP transmembrane transport	BP	2	92	12	57634	0.00016462728365457	0.00187421830622125
GO:0016460	myosin II complex	CC	2	92	14	57634	0.000226514306248373	0.00239457980891137
GO:0005471	ATP:ADP antiporter activity	MF	2	92	15	57634	0.00026109094297234	0.00257609730399376
GO:0043457	regulation of cellular respiration	BP	2	92	24	57634	0.000679905196152862	0.00628912306441397
GO:0070180	large ribosomal subunit rRNA binding	MF	2	92	26	57634	0.00079895126065503	0.00695557568099673
GO:0035023	regulation of Rho protein signal transduction	BP	1	92	1	57634	0.00159627997362677	0.0131249686720423
GO:0005509	calcium ion binding	MF	4	92	322	57634	0.00181591939268006	0.0141450563219289
GO:0005634	nucleus	CC	12	92	3019	57634	0.00308598746967578	0.0224821830766951
GO:0008064	regulation of actin polymerization or depolymerization	BP	1	92	2	57634	0.00319003949061214	0.0224821830766951
GO:0016787	hydrolase activity	MF	4	92	384	57634	0.00341864354269571	0.0229981474690439
GO:0010427	abscisic acid binding	MF	2	92	56	57634	0.00366984797648507	0.0236146739356431
GO:0009738	abscisic acid-activated signaling pathway	BP	2	92	61	57634	0.00433841959464365	0.0267535875003025
GO:0003677	DNA binding	MF	8	92	1643	57634	0.0048208984503068	0.0274420373325156
GO:0022618	protein-RNA complex assembly	BP	1	92	3	57634	0.00478128248698328	0.0274420373325156
GO:0004864	protein phosphatase inhibitor activity	MF	2	92	66	57634	0.00505897134425909	0.0277306577389017
GO:0038023	signaling receptor activity	MF	2	92	68	57634	0.00536155548660591	0.0283396504292026
GO:0048046	apoplast	CC	3	92	223	57634	0.00557213223842992	0.0284370886650906
GO:0032040	small-subunit processome	CC	2	92	73	57634	0.00615345173338918	0.0303570285513866
GO:0030124	AP-4 adaptor complex	CC	1	92	4	57634	0.00637001289268857	0.0304116744554164
GO:0005576	extracellular region	CC	4	92	519	57634	0.00974097909536644	0.0424019090033598
GO:0034715	pICln-Sm protein complex	CC	1	92	6	57634	0.00953995162155796	0.0424019090033598
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity	MF	1	92	6	57634	0.00953995162155796	0.0424019090033598
