GO_ID	GO_name	Ontology	study_count	study_total	pop_count	pop_total	p_value	p_adjusted
GO:0003746	translation elongation factor activity	MF	1749	18834	2074	57634	0	0
GO:0051321	meiotic cell cycle	BP	2142	18834	2810	57634	0	0
GO:0007130	synaptonemal complex assembly	BP	1838	18834	2241	57634	0	0
GO:0019677	NAD catabolic process	BP	1233	18834	1649	57634	9.59323325055469e-277	9.33661426110235e-274
GO:0034052	positive regulation of plant-type hypersensitive response	BP	1233	18834	1659	57634	1.92003447297552e-272	1.49493884065874e-269
GO:0052542	defense response by callose deposition	BP	1233	18834	1662	57634	3.62066760519816e-271	2.34920983117274e-268
GO:0007165	signal transduction	BP	1595	18834	2701	57634	1.35356630698084e-182	7.52776233296628e-180
GO:0006414	translational elongation	BP	751	18834	978	57634	4.24546256451245e-179	2.06594822045587e-176
GO:0005730	nucleolus	CC	1357	18834	2282	57634	4.8549043715733e-158	2.10001585761498e-155
GO:0030430	host cell cytoplasm	CC	826	18834	1216	57634	2.38616874905617e-142	9.28935494007568e-140
GO:0005515	protein binding	MF	5738	18834	13967	57634	8.38367986299439e-128	2.9670605187852e-125
GO:0008483	transaminase activity	MF	1197	18834	2064	57634	9.27631852187822e-128	3.00939233380599e-125
GO:0042025	host cell nucleus	CC	639	18834	906	57634	6.41500204612951e-122	1.92104638196786e-119
GO:0009507	chloroplast	CC	2780	18834	6028	57634	8.18168590895089e-117	2.2750930888247e-114
GO:0006915	apoptotic process	BP	494	18834	690	57634	3.59491716268118e-98	9.33000834287857e-96
GO:0016477	cell migration	BP	216	18834	227	57634	1.16150435591846e-89	2.82608528599409e-87
GO:0007612	learning	BP	197	18834	201	57634	1.4163621281535e-89	3.06327653605643e-87
GO:0043065	positive regulation of apoptotic process	BP	348	18834	440	57634	1.39532648953681e-89	3.06327653605643e-87
GO:0090200	positive regulation of release of cytochrome c from mitochondria	BP	297	18834	356	57634	1.82389504124159e-87	3.73706494502815e-85
GO:0051028	mRNA transport	BP	437	18834	611	57634	1.0661269337649e-86	2.07521607657338e-84
GO:1905168	positive regulation of double-strand break repair via homologous recombination	BP	308	18834	376	57634	1.20334991264904e-86	2.23078152854414e-84
GO:0001778	plasma membrane repair	BP	207	18834	217	57634	1.38214326208196e-86	2.44576532694777e-84
GO:0007059	chromosome segregation	BP	381	18834	506	57634	1.5598641042857e-86	2.64023954694966e-84
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	BP	288	18834	343	57634	3.27359966237324e-86	5.31005145234127e-84
GO:0019068	virion assembly	BP	224	18834	242	57634	3.800282818319e-86	5.91780040468635e-84
GO:0001844	NA	NA	286	18834	340	57634	5.24331688727942e-86	7.8508587085303e-84
GO:2000786	positive regulation of autophagosome assembly	BP	287	18834	342	57634	8.49370128440053e-86	1.22466589259894e-83
GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	BP	286	18834	341	57634	2.20247558189096e-85	3.06222765725053e-83
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	BP	287	18834	345	57634	5.80788875203042e-84	7.79658996953601e-82
GO:0006412	translation	BP	922	18834	1664	57634	1.97224354138467e-83	2.55931470220351e-81
GO:0005654	nucleoplasm	CC	1195	18834	2313	57634	1.48491378731041e-82	1.86476431419337e-80
GO:0048168	regulation of neuronal synaptic plasticity	BP	235	18834	266	57634	4.39914549407312e-80	5.35183544013333e-78
