GO_term	taxon	taxon_id	lineage
GO:0019784	root	1.0	root
GO:0010423	Arabidopsis thaliana	3702.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae | Camelineae | Arabidopsis | Arabidopsis thaliana
GO:0004345	root	1.0	root
GO:0007088	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0006824	cellular organisms	131567.0	root | cellular organisms
GO:1900055	Embryophyta	3193.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta
GO:0102851	Unknown		
GO:0034263	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0008756	cellular organisms	131567.0	root | cellular organisms
GO:0080106	Arabidopsis	3701.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae | Camelineae | Arabidopsis
GO:0006471	Unknown		
GO:0018991	Metazoa	33208.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa
GO:0000009	root	1.0	root
GO:0099073	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0030130	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0010501	Unknown		
GO:0042138	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0010306	Embryophyta	3193.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta
GO:0046256	cellular organisms	131567.0	root | cellular organisms
GO:0045127	cellular organisms	131567.0	root | cellular organisms
GO:0047710	cellular organisms	131567.0	root | cellular organisms
GO:0003960	root	1.0	root
GO:0007063	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0006532	cellular organisms	131567.0	root | cellular organisms
GO:0061459	cellular organisms	131567.0	root | cellular organisms
GO:0009528	Viridiplantae	33090.0	root | cellular organisms | Eukaryota | Viridiplantae
GO:0010954	Opisthokonta	33154.0	root | cellular organisms | Eukaryota | Opisthokonta
GO:0000972	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0045927	root	1.0	root
GO:0005853	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0042314	Chlorobiales	191411.0	root | cellular organisms | Bacteria | Pseudomonadati | FCB group | Bacteroidota/Chlorobiota group | Chlorobiota | Chlorobiia | Chlorobiales
GO:0008478	cellular organisms	131567.0	root | cellular organisms
GO:0004473	cellular organisms	131567.0	root | cellular organisms
GO:0140750	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0046760	Viruses	10239.0	root | Viruses
GO:0008360	cellular organisms	131567.0	root | cellular organisms
GO:0031554	cellular organisms	131567.0	root | cellular organisms
GO:2001032	Opisthokonta	33154.0	root | cellular organisms | Eukaryota | Opisthokonta
GO:0047844	Unknown		
GO:0070841	Murinae	39107.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia | Theria | Eutheria | Boreoeutheria | Euarchontoglires | Glires | Rodentia | Myomorpha | Muroidea | Muridae | Murinae
GO:0030118	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0000002	Unknown		
GO:0051896	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0072722	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0007127	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0140492	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0007565	Euteleostomi	117571.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi
GO:0004771	cellular organisms	131567.0	root | cellular organisms
GO:1990450	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0004022	cellular organisms	131567.0	root | cellular organisms
GO:0008757	root	1.0	root
GO:0042910	root	1.0	root
GO:0000832	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0034594	cellular organisms	131567.0	root | cellular organisms
GO:0032541	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0008201	cellular organisms	131567.0	root | cellular organisms
GO:0022416	Neoptera	33340.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Altocrustacea | Allotriocarida | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera
GO:0000027	cellular organisms	131567.0	root | cellular organisms
GO:0071732	cellular organisms	131567.0	root | cellular organisms
GO:0090630	Opisthokonta	33154.0	root | cellular organisms | Eukaryota | Opisthokonta
GO:0052692	cellular organisms	131567.0	root | cellular organisms
GO:0000381	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0038199	cellular organisms	131567.0	root | cellular organisms
GO:0048480	Mesangiospermae	1437183.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae
GO:0009612	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0060215	Euteleostomi	117571.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi
GO:0070469	Unknown		
GO:0018025	cellular organisms	131567.0	root | cellular organisms
GO:0045488	cellular organisms	131567.0	root | cellular organisms
GO:0048387	Euteleostomi	117571.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi
GO:0006865	root	1.0	root
GO:0009413	Mesangiospermae	1437183.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae
GO:0070670	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0046332	root	1.0	root
GO:0010291	cellular organisms	131567.0	root | cellular organisms
GO:0043093	root	1.0	root
GO:0008239	cellular organisms	131567.0	root | cellular organisms
GO:0080156	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:1904423	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0016615	root	1.0	root
GO:0003421	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0102343	Unknown		
GO:0030289	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0047134	cellular organisms	131567.0	root | cellular organisms
GO:0061060	Drosophila	7215.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Altocrustacea | Allotriocarida | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Eumetabola | Endopterygota | Aparaglossata | Panorpida | Diptera | Brachycera | Muscomorpha | Eremoneura | Cyclorrhapha | Schizophora | Acalyptratae | Ephydroidea | Drosophilidae | Drosophilinae | Drosophilini | Drosophila
GO:1902243	Nicotiana tabacum	4097.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | asterids | lamiids | Solanales | Solanaceae | Nicotianoideae | Nicotianeae | Nicotiana | Nicotiana tabacum
GO:0044687	root	1.0	root
GO:0006565	root	1.0	root
GO:0005664	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0016832	root	1.0	root
GO:1990584	Chordata	7711.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata
GO:0034039	cellular organisms	131567.0	root | cellular organisms
GO:0006065	root	1.0	root
GO:0009620	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:1901475	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0009590	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0055065	Unknown		
GO:1990961	cellular organisms	131567.0	root | cellular organisms
GO:0010052	Embryophyta	3193.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta
GO:0046856	root	1.0	root
GO:0008782	cellular organisms	131567.0	root | cellular organisms
GO:0005200	cellular organisms	131567.0	root | cellular organisms
GO:0048208	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0046084	cellular organisms	131567.0	root | cellular organisms
GO:1904975	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0106035	Unknown		
GO:0103118	root	1.0	root
GO:0030331	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:2000769	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0005545	cellular organisms	131567.0	root | cellular organisms
GO:0039502	Unknown		3470597
GO:0046592	cellular organisms	131567.0	root | cellular organisms
GO:0008543	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0008970	cellular organisms	131567.0	root | cellular organisms
GO:0070124	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0007004	cellular organisms	131567.0	root | cellular organisms
GO:0005980	cellular organisms	131567.0	root | cellular organisms
GO:0009452	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0006120	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:1901001	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0046027	cellular organisms	131567.0	root | cellular organisms
GO:0051782	root	1.0	root
GO:0046755	root	1.0	root
GO:0071490	Brassicaceae	3700.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids | Brassicales | Brassicaceae
GO:0006616	cellular organisms	131567.0	root | cellular organisms
GO:0102205	Unknown		
GO:0009150	cellular organisms	131567.0	root | cellular organisms
GO:0010629	root	1.0	root
GO:1903385	Euteleostomi	117571.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi
GO:0051792	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0045087	root	1.0	root
GO:0004398	cellular organisms	131567.0	root | cellular organisms
GO:0043024	cellular organisms	131567.0	root | cellular organisms
GO:1903706	Bilateria	33213.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria
GO:0070204	cellular organisms	131567.0	root | cellular organisms
GO:0033600	Mammalia	40674.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota | Mammalia
GO:0071633	Unknown		
GO:0032350	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0002143	root	1.0	root
GO:0010021	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0060079	Metazoa	33208.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa
GO:0005846	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0048629	malvids	91836.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae | rosids | malvids
GO:0030474	Fungi	4751.0	root | cellular organisms | Eukaryota | Opisthokonta | Fungi
GO:0019779	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0031321	Ascomycota	4890.0	root | cellular organisms | Eukaryota | Opisthokonta | Fungi | Dikarya | Ascomycota
GO:0051555	cellular organisms	131567.0	root | cellular organisms
GO:0019158	cellular organisms	131567.0	root | cellular organisms
GO:0004829	root	1.0	root
GO:1902004	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0019348	Unknown		
