"Specie","Assembly_level","Data_Bank","Accession","TaxID"
"Castanea crenata","Chromosome","Castanea Genome Database","PMID: 34424280 - <a href=""http://castaneadb.net/#/genomeInfo?id=10348001"" target=""_blank"">website</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=103480"" target=""_blank"">103480</a>"
"Castanea dentata","Chromosome","Phytozome","<a href=""https://phytozome-next.jgi.doe.gov/info/Cdentata_v1_1"" target=""_blank"">Phytozome genome ID: 673</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=134033"" target=""_blank"">134033</a>"
"Castanea mollissima 'Vanuxem'","Scaffold","NCBI","<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000763605.2/"" target=""_blank"">GCA_000763605.2</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=60419"" target=""_blank"">60419</a>"
"Castanea mollissima 'N-11'","Chromosome","Castanea Genome Database","PMID: 32847817 - <a href=""http://castaneadb.net/#/genomeInfo?id=6041902"" target=""_blank"">website</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=60419"" target=""_blank"">60419</a>"
"Castanea mollissima 'H7'","Chromosome","Castanea Genome Database","PMID: 35958219 - <a href=""http://castaneadb.net/#/genomeInfo?id=6041905"" target=""_blank"">website</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=60419"" target=""_blank"">60419</a>"
"Castanea sativa","Chromosome","NCBI / Other","<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_040712315.1/"" target=""_blank"">GCA_040712315.1</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=21020"" target=""_blank"">21020</a>"
"Castanopsis carlesii","Chromosome","NGDC","<a href=""https://ngdc.cncb.ac.cn/gwh/Assembly/85209/show"" target=""_blank"">GWHETSE00000000.1</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=167382"" target=""_blank"">167382</a>"
"Castanopsis eyrei","Chromosome","NGDC","<a href=""https://ngdc.cncb.ac.cn/gwh/Assembly/85214/show"" target=""_blank"">GWHETSM00000000.1</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=425820"" target=""_blank"">425820</a>"
"Castanopsis hystrix","Chromosome","NGDC","<a href=""https://ngdc.cncb.ac.cn/gwh/Assembly/34326/show"" target=""_blank"">GWHBWDD00000000</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=167390"" target=""_blank"">167390</a>"
"Fagus crenata","Scaffold","NCBI","<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_014362285.1/"" target=""_blank"">GCA_014362285.1</a>","<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=28929"" target=""_blank"">28929</a>"
