Sequence Name	Annotation GO ID	Annotation GO Term	Annotation GO Category
CSH1-5g26751	GO:0000724	double-strand break repair via homologous recombination	Biological Process
CSH1-5g26751	GO:0003697	single-stranded DNA binding	Molecular Function
CSH1-5g26751	GO:0005634	nucleus	Cellular Component
CSH1-5g26751	GO:0030915	Smc5-Smc6 complex	Cellular Component
CSH1-5g26751	GO:0051276	chromosome organization	Biological Process
CSH1-11g49982	GO:0003677	DNA binding	Molecular Function
CSH1-11g49982	GO:0005634	nucleus	Cellular Component
CSH1-11g49982	GO:0006508	proteolysis	Biological Process
CSH1-11g49982	GO:0008234	cysteine-type peptidase activity	Molecular Function
CSH1-2g08996	GO:0003676	nucleic acid binding	Molecular Function
CSH1-2g08996	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
CSH1-11g49192	GO:0005576	extracellular region	Cellular Component
CSH1-11g49195	GO:0005576	extracellular region	Cellular Component
CSH1-11g53679	GO:0005524	ATP binding	Molecular Function
CSH1-11g53679	GO:0006457	protein folding	Biological Process
CSH1-11g53679	GO:0051082	unfolded protein binding	Molecular Function
CSH1-11g53679	GO:0140662	ATP-dependent protein folding chaperone	Molecular Function
CSH1-4g19527	GO:0004672	protein kinase activity	Molecular Function
CSH1-4g19527	GO:0005524	ATP binding	Molecular Function
CSH1-4g19527	GO:0005886	plasma membrane	Cellular Component
CSH1-4g19527	GO:0007165	signal transduction	Biological Process
CSH1-4g19527	GO:0048046	apoplast	Cellular Component
CSH1-1g03836	GO:0009507	chloroplast	Cellular Component
CSH1-1g03836	GO:0016787	hydrolase activity	Molecular Function
CSH1-1g03837	GO:0009507	chloroplast	Cellular Component
CSH1-3g16471	GO:0004672	protein kinase activity	Molecular Function
CSH1-3g16471	GO:0005524	ATP binding	Molecular Function
CSH1-3g16471	GO:0005886	plasma membrane	Cellular Component
CSH1-3g16471	GO:0007165	signal transduction	Biological Process
CSH1-3g16471	GO:0048046	apoplast	Cellular Component
CSH1-10g45243	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45243	GO:0016020	membrane	Cellular Component
CSH1-10g45243	GO:0016567	protein ubiquitination	Biological Process
CSH1-10g45243	GO:0016740	transferase activity	Molecular Function
CSH1-8g39038	GO:0003676	nucleic acid binding	Molecular Function
CSH1-10g45007			
CSH1-10g45014			
CSH1-10g45023			
CSH1-10g45039			
CSH1-10g45048	GO:0016020	membrane	Cellular Component
CSH1-10g45058	GO:0009807	lignan biosynthetic process	Biological Process
CSH1-10g45058	GO:0010283	pinoresinol reductase activity	Molecular Function
CSH1-10g45063			
CSH1-10g45066	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	Molecular Function
CSH1-10g45071	GO:0005488	binding	Molecular Function
CSH1-10g45079			
CSH1-10g45087	GO:0016020	membrane	Cellular Component
CSH1-10g45089	GO:0005634	nucleus	Cellular Component
CSH1-10g45089	GO:0005737	cytoplasm	Cellular Component
CSH1-10g45089	GO:0007165	signal transduction	Biological Process
CSH1-10g45089	GO:0030295	protein kinase activator activity	Molecular Function
CSH1-10g45092			
CSH1-10g45097	GO:0003824	catalytic activity	Molecular Function
CSH1-10g45097	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45109	GO:0004497	monooxygenase activity	Molecular Function
CSH1-10g45109	GO:0005506	iron ion binding	Molecular Function
CSH1-10g45109	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Molecular Function
CSH1-10g45109	GO:0020037	heme binding	Molecular Function
CSH1-10g45120	GO:0016020	membrane	Cellular Component
CSH1-10g45123	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45123	GO:0016567	protein ubiquitination	Biological Process
CSH1-10g45123	GO:0140096	catalytic activity, acting on a protein	Molecular Function
CSH1-10g45130	GO:0046983	protein dimerization activity	Molecular Function
CSH1-10g45131			
CSH1-10g45146			
CSH1-10g45153			
CSH1-10g45155			
CSH1-10g45157			
CSH1-10g45158			
CSH1-10g45167			
CSH1-10g45180	GO:0016020	membrane	Cellular Component
CSH1-10g45189			
CSH1-10g45190			
CSH1-10g45191	GO:0003824	catalytic activity	Molecular Function
CSH1-10g45192			
CSH1-10g45194			
CSH1-10g45197	GO:0008270	zinc ion binding	Molecular Function
CSH1-10g45197	GO:0016020	membrane	Cellular Component
CSH1-10g45197	GO:0016567	protein ubiquitination	Biological Process
CSH1-10g45197	GO:0016740	transferase activity	Molecular Function
CSH1-10g45200			
CSH1-10g45201			
CSH1-10g45202			
CSH1-10g45204			
CSH1-10g45205			
CSH1-10g45206			
CSH1-10g45214			
CSH1-10g45218			
CSH1-10g45220	GO:0016020	membrane	Cellular Component
CSH1-10g45220	GO:0016757	glycosyltransferase activity	Molecular Function
CSH1-10g45221	GO:0110165	cellular anatomical structure	Cellular Component
CSH1-10g45223			
CSH1-10g45226			
CSH1-10g45227	GO:0003824	catalytic activity	Molecular Function
CSH1-10g45235			
CSH1-10g45237			
CSH1-10g45246	GO:0000175	3'-5'-RNA exonuclease activity	Molecular Function
CSH1-10g45246	GO:0000958	mitochondrial mRNA catabolic process	Biological Process
CSH1-10g45246	GO:0000965	mitochondrial RNA 3'-end processing	Biological Process
CSH1-10g45246	GO:0003723	RNA binding	Molecular Function
CSH1-10g45246	GO:0003924	GTPase activity	Molecular Function
CSH1-10g45246	GO:0004563	beta-N-acetylhexosaminidase activity	Molecular Function
CSH1-10g45246	GO:0004654	polyribonucleotide nucleotidyltransferase activity	Molecular Function
CSH1-10g45246	GO:0005525	GTP binding	Molecular Function
CSH1-10g45246	GO:0005739	mitochondrion	Cellular Component
CSH1-10g45246	GO:0005829	cytosol	Cellular Component
CSH1-10g45246	GO:0005874	microtubule	Cellular Component
CSH1-10g45246	GO:0005975	carbohydrate metabolic process	Biological Process
CSH1-10g45246	GO:0008017	microtubule binding	Molecular Function
CSH1-10g45246	GO:0009570	chloroplast stroma	Cellular Component
CSH1-10g45246	GO:0016020	membrane	Cellular Component
CSH1-10g45246	GO:0030203	glycosaminoglycan metabolic process	Biological Process
CSH1-10g45248			
